"","Est.","2.5%","97.5%","z val.","p","VIF"
"(Intercept)",2.13476095268082,-2.59760058147863,6.86712248684027,0.8841367153915,0.376622415580212,NA
"IgG.IgM_logistic_reg$Age.category>35",-0.194152394109999,-3.41181071498413,3.02350592676413,-0.118263551322145,0.90585883651149,1.37021528779408
"IgG.IgM_logistic_reg$ifn_gam_quatile_catsec",-0.947855207949077,-4.70125949321597,2.80554907731782,-0.49495389490312,0.620632665747085,1.79491847705843
"IgG.IgM_logistic_reg$ifn_gam_quatile_catthir",-0.65329665156465,-3.65213127878572,2.34553797565642,-0.426978499135803,0.669394988197551,1.79491847705843
"IgG.IgM_logistic_reg$hsp_60_avrg",-0.00331072538002441,-0.0217714557566796,0.0151500049966307,-0.351497604653615,0.725215069196485,1.44762859122567
"IgG.IgM_logistic_reg$il_10_quatile_catsec",0.227363058042675,-3.01392198720578,3.46864810329113,0.137483559439424,0.890648587010303,1.57543039635262
"IgG.IgM_logistic_reg$il_10_quatile_catthir",0.068924335331798,-3.06263665281902,3.20048532348261,0.0431379798828238,0.965591543896497,1.57543039635262
